Id,State
614cd2b8-0fb4-4caa-8c44-868aeabe01db,published
614cd2b5-ae4d-47ed-9e7c-843ae42e514a,published
614cd2b3-7186-411d-abf4-2542dce99f63,published
614cd2b1-b2e6-4833-9d91-04c59daace8c,published
614cd2b0-93db-4191-b8a4-34a768e5d660,published
614cd2ae-a634-407c-8627-0981db8381d7,published
614cd2ac-bc73-400e-9a27-40129d0b709e,published
614cd2ab-d32c-4344-8c3c-3971fced3ce6,published
614cd2a9-4c8f-40ae-bf31-f10d985dc533,published
614cd2a8-9b65-471f-b086-bac7805fa48d,published
614cd2a7-d0d9-433e-806a-76abad62ef4b,published
614cd2a5-4403-4d03-87b7-7761be51613d,published
614cd2a3-bbaa-465f-8f8f-7dd86d0540ed,published
614cd2a1-9a76-4226-87c6-47d94fee7d1c,published
614cd2a0-5289-4fe1-84ab-c83cf709fde1,published
614cd29e-f88f-4ea0-ad5f-5471fd341721,published
614cd29c-49bf-47f8-b4a3-f738119f8145,published
614cd29a-fa20-45cc-a8b7-0900d240e573,published
614cd299-dddf-4107-bae5-9fe16da0fb4c,published
614cd297-2cb7-4405-ae79-e455506bbd14,published
614cd295-2cc8-40fe-8e00-787f1770aacc,published
614cd292-2704-4a3f-8436-fa9ef1bb136c,published
614cd256-216b-494c-a968-ba5a3ea59c43,published
614cd254-e77a-488a-8ad5-c45c127ea2cd,published
614cd252-9cdf-4bdd-a154-bb20aed3d09c,published
614cd250-b674-4c51-acac-36e4e6961b7c,published
614a668c-9f62-4277-9f0b-f96f06667889,published
614a3557-524c-4057-998f-f6f64e11d0ff,published
61494c93-f750-451f-bce5-fb9379adacda,closed
6148cbf0-255d-42b2-b901-8de4660cf83a,published
6148c8bf-64d6-4084-9875-5a989bb111ae,published
6148c7bd-a4ea-412f-a941-b229cfd8d245,published
6147980d-0659-4d88-aa01-58344ef709b1,published
61467f2f-cfa1-4483-9028-85fb42846c64,published
61463766-65aa-4596-8e38-3e050db0c7c6,published
614634a4-d6c8-4e52-bf0e-1d36024fd26a,published
61461735-9e85-4dfa-baef-459c94156fee,published
61460492-b17b-4fed-bd29-bde2cb5e6f40,closed
61460231-0d6e-4c48-9eb5-869964ea79e8,published
614383f7-abd2-4592-8cea-b9cb9b779e74,published
61437b8f-3989-44be-887a-d6e710e26ca4,published
614379f5-a30e-4fee-9d86-efa0d89ced73,published
6142bd96-6ddd-466b-8d4a-e401d437e6a5,closed
6142bc4a-e66d-485b-b948-31681edf991e,published
6142bb22-57ec-4c52-a626-04e03ae14d20,published
6142ba3b-43ab-485e-bcf6-10363b14f5ef,published
6142b942-eaca-4651-8d20-f87f2e03c676,published
6142b867-15a1-4503-9eb3-9f6b6ecb3989,published
